url,reason,note,domain
https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-prairie-view-am-texas,no_events,JSON-LD present but no Event-type entries,ussportscamps.com
https://www.ussportscamps.com/news/volleyball/nike-volleyball-camps-launches-new-camp-at-the-university-of-san-francisco,no_jsonld,,ussportscamps.com
https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-menlo-college,no_events,JSON-LD present but no Event-type entries,ussportscamps.com
https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-university-of-la-verne,no_events,JSON-LD present but no Event-type entries,ussportscamps.com
