status,code,url,note,sources
BROKEN,403,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/types-of-emergencies/tornado.html,HTTPError GET,tornado-severe-weather-protocol.md
BROKEN,404,https://www.airnow.gov/wildfire-smoke-guide/,HTTPError HEAD,wildfire-smoke-aqi.md
BROKEN,403,https://aausports.org/aau-youth-protection-policy/,HTTPError GET,volunteer-vs-paid-coach-vetting.md
BROKEN,502,https://aacca.org/,HTTPError HEAD,youth-cheer-stunt-safety-briefing.md
BROKEN,404,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Sports-Recreation,HTTPError HEAD,used-gear-safety.md
ERROR,ERR,https://saferbus.fmcsa.dot.gov/,URL: [Errno -2] Name or service not known,bus-charter-vetting.md
ERROR,ERR,https://www.plantscience.psu.edu/research/centers/ssrc,"URL: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.plantscience.psu.edu'. (_ssl.c:1007)",artificial-turf-temperatures-burn-risk.md
ERROR,ERR,https://www.nationalpolevaultsafetyfoundation.org/,URL: [Errno -2] Name or service not known,pole-vault-helmet-debate.md
ERROR,TIMEOUT,https://www.astm.org/,socket timeout,goalkeeper-gear-safety.md; soccer-goalpost-anchoring.md; youth-lacrosse-girls-safety-briefing.md
ERROR,TIMEOUT,https://www.olympic.org/athlete365/health/relative-energy-deficiency-in-sport/,socket timeout,eating-disorders-in-sport.md
ERROR,TIMEOUT,https://www.olympic.org/,socket timeout,growth-spurt-injury-window.md; youth-cross-country-safety-briefing.md
REDIRECT,308,https://www.teamusa.com/mental-health,HTTPError HEAD,burnout-signs.md; identity-beyond-the-sport.md; performance-anxiety.md; pre-game-routine.md
REDIRECT,308,https://usafootball.com/heads-up-football/,HTTPError HEAD,youth-football-safety-briefing.md
OK,200,https://www.foodallergy.org/,HEAD,anaphylaxis-and-epipen-on-field.md; restaurant-food-allergies-travel.md
OK,200,https://uscenterforsafesport.org/,HEAD,airport-pickup-non-parents.md; bullying-and-hazing.md; bus-and-banquet-conduct.md; camp-counselor-vetting.md; coach-background-checks.md; coach-background-checks.md; coach-coach-conflicts.md; coach-targeting-pattern.md; coach-verbal-abuse.md; cyberbullying-team-apps.md; league-questions-checklist.md; lgbtq-youth-athlete-safety.md; locker-room-culture.md; one-on-one-coach-dms.md; one-on-one-coach-dms.md; private-trainer-vetting.md; racism-discrimination-on-team.md; recruiting-dms.md; safesport-basics-for-parents.md; safesport-basics-for-parents.md; safesport-reporting-walkthrough.md; safesport-reporting-walkthrough.md; team-app-dm-settings.md; team-manager-parent-conduct.md; tournament-safety-plan-checklist.md; transporting-other-peoples-kids.md; travel-team-rooming-chaperones.md; volunteer-vs-paid-coach-vetting.md; youth-gymnastics-safety-briefing.md
OK,200,https://www.wada-ama.org/,HEAD,banned-substances-hs-college.md
OK,200,https://pmc.ncbi.nlm.nih.gov/articles/PMC2729972/,HEAD,acl-prevention-warmup.md
