name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp at Radford University - Team Camp COACH REGISTRATION (July 24–26, 2026)",volleyball,18,22,2026-07-24,2026-07-26,101 University Dr,Radford,VA,24141,"Join us this summer at Radford University for fun and learning on the court! Campers of all abilities will train with Head Coach, Savanna Hammond, and Assitant Coach, Nicole Taylor, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 6-18, this volleyball camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Radford—sign up today!",$3400-$3960,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-radford,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Radford University - Little Tots Camp (July 28–30, 2026)",volleyball,6,12,2026-07-28,2026-07-30,101 University Dr,Radford,VA,24141,"Join us this summer at Radford University for fun and learning on the court! Campers of all abilities will train with Head Coach, Savanna Hammond, and Assitant Coach, Nicole Taylor, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 6-18, this volleyball camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Radford—sign up today!",$181,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-radford,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Radford University - All Skills Camp (July 28–30, 2026)",volleyball,10,16,2026-07-28,2026-07-30,101 University Dr,Radford,VA,24141,"Join us this summer at Radford University for fun and learning on the court! Campers of all abilities will train with Head Coach, Savanna Hammond, and Assitant Coach, Nicole Taylor, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 6-18, this volleyball camp in Virginia is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Radford—sign up today!",$391,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-radford,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - Serving Clinic (June 22, 2026)",volleyball,10,18,2026-06-22,2026-06-22,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$39,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - Little Spikers Camp (June 22–25, 2026)",volleyball,6,9,2026-06-22,2026-06-25,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$255,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - All Skills Camp (June 22–25, 2026)",volleyball,10,18,2026-06-22,2026-06-25,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$548,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - Hitting Clinic (June 23, 2026)",volleyball,10,18,2026-06-23,2026-06-23,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$39,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - Setting Clinic (June 24, 2026)",volleyball,10,18,2026-06-24,2026-06-24,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$39,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - Passing & Defense Clinic (June 25, 2026)",volleyball,10,18,2026-06-25,2026-06-25,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$46,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Virginia Volleyball Center - Position Specialty Clinic (June 26, 2026)",volleyball,10,18,2026-06-26,2026-06-26,45685 Oakbrook Ct,Sterling,VA,20166,"Get ready to have a blast at our volleyball camp at the Virginia Volleyball Center! Designed for girls ages 6-18, these summer sessions provide top-tier training led by an elite coaching staff. Players of all skill levels will sharpen their techniques through dynamic drills, competitive play, and hands-on instruction. Join the fun and boost your volleyball game in Virginia!",$86,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-virginia-volleyball-center,FALSE,FALSE,camp,,,medium
