name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp at Sarasota High School -  (Aug. 3–6, 2026)",volleyball,13,17,2026-08-03,2026-08-06,2155 Bahia Vista St,Sarasota,FL,34239,"Join us this summer at Sarasota High School for fun and learning on the court! Campers of all abilities will train with Head Volleyball Coach, Daris Rodriguez, while enjoying a supportive and exciting atmosphere. Open to girls, ages 9-17, this volleyball camp in Florida is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Sarasota—sign up today!",$485,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-sarasota-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Saint Pete Catholic High School - All Skills Camp (June 17–20, 2026)",volleyball,10,16,2026-06-17,2026-06-20,6333 9th Ave N,St. Petersburg,FL,33710,"Join us this summer at Saint Pete Catholic High School in Florida for fun and learning on the court! Campers of all abilities will train with Michelle Piantadosi-Lima, head coach of the Eckerd College volleyball program, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-16, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in St. Petersburg!",$519,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-saint-pete-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Saint Pete Catholic High School - Serving Clinic (June 21, 2026)",volleyball,10,18,2026-06-21,2026-06-21,6333 9th Ave N,St. Petersburg,FL,33710,"Join us this summer at Saint Pete Catholic High School in Florida for fun and learning on the court! Campers of all abilities will train with Michelle Piantadosi-Lima, head coach of the Eckerd College volleyball program, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-16, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in St. Petersburg!",$95,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-saint-pete-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Saint Pete Catholic High School - Defense Clinic (June 21, 2026)",volleyball,10,18,2026-06-21,2026-06-21,6333 9th Ave N,St. Petersburg,FL,33710,"Join us this summer at Saint Pete Catholic High School in Florida for fun and learning on the court! Campers of all abilities will train with Michelle Piantadosi-Lima, head coach of the Eckerd College volleyball program, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-16, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in St. Petersburg!",$95,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-saint-pete-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Saint Pete Catholic High School - All Skills Camp (July 13–16, 2026)",volleyball,10,16,2026-07-13,2026-07-16,6333 9th Ave N,St. Petersburg,FL,33710,"Join us this summer at Saint Pete Catholic High School in Florida for fun and learning on the court! Campers of all abilities will train with Michelle Piantadosi-Lima, head coach of the Eckerd College volleyball program, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-16, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in St. Petersburg!",$519,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-saint-pete-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Saint Pete Catholic High School - Serving Clinic (July 17, 2026)",volleyball,10,18,2026-07-17,2026-07-17,6333 9th Ave N,St. Petersburg,FL,33710,"Join us this summer at Saint Pete Catholic High School in Florida for fun and learning on the court! Campers of all abilities will train with Michelle Piantadosi-Lima, head coach of the Eckerd College volleyball program, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-16, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in St. Petersburg!",$95,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-saint-pete-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Saint Pete Catholic High School - Defense, Passing, & Attacking Clinic (July 17, 2026)",volleyball,10,18,2026-07-17,2026-07-17,6333 9th Ave N,St. Petersburg,FL,33710,"Join us this summer at Saint Pete Catholic High School in Florida for fun and learning on the court! Campers of all abilities will train with Michelle Piantadosi-Lima, head coach of the Eckerd College volleyball program, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-16, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in St. Petersburg!",$95,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-saint-pete-high-school,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at University of South Florida -  (June 15–19, 2026)",volleyball,10,18,2026-06-15,2026-06-19,12301 USF Maple Dr,Tampa,FL,33620,"Join us this summer at the University of South Florida for fun and skill-building on the court! Campers of all abilities will train with Head Beach Volleyball and Assistant Indoor Coach at Tusculum University, Emily Kalmink, in a supportive and energetic environment. Open to girls and boys ages 10–18, this volleyball camp focuses on building confidence, improving skills, and making new friends. From engaging drills to friendly games, every session is designed to help athletes grow and enjoy the sport they love. Don’t miss out in Tampa—sign up today!",$549,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-university-south-florida,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at University of South Florida -  (June 22–26, 2026)",volleyball,10,18,2026-06-22,2026-06-26,12301 USF Maple Dr,Tampa,FL,33620,"Join us this summer at the University of South Florida for fun and skill-building on the court! Campers of all abilities will train with Head Beach Volleyball and Assistant Indoor Coach at Tusculum University, Emily Kalmink, in a supportive and energetic environment. Open to girls and boys ages 10–18, this volleyball camp focuses on building confidence, improving skills, and making new friends. From engaging drills to friendly games, every session is designed to help athletes grow and enjoy the sport they love. Don’t miss out in Tampa—sign up today!",$549,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-university-south-florida,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Redline Athletic Peachtree Corners -  (June 8–11, 2026)",volleyball,10,18,2026-06-08,2026-06-11,4975 Avalon Ridge Pkwy,Peachtree Corners,GA,30071,"Join us this summer at Redline Athletic Peachtree Corners in Georgia for fun and learning on the court! Campers of all abilities will train with Nike Volleyball Camp Director, Jing Hou, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 10-18, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Peachtree Corners—sign up today!",$479,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-peachtree-corners,FALSE,FALSE,camp,,,medium
