name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp in Vancouver, Washington - All Skills Camp (Aug. 11–13, 2026)",volleyball,10,15,2026-08-11,2026-08-13,5802 MacArthur Blvd,Vancouver,WA,98661,"Join us this summer at McLoughlin Middle School for fun and learning on the court! Campers of all abilities will train with an elite coaching staff using a curriculum designed by James Finley, former Head Volleyball Coach at Seattle University. This camp in Vancouver is open to girls and boys, ages 10-15, looking to build confidence, improve skills, and make new friends. From fun drills to lively games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Washington this summer—sign up today!",$315,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-vancouver,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at OAW Sports Complex -  (July 20–24, 2026)",volleyball,10,15,2026-07-20,2026-07-24,5330 S Racine Ave,New Berlin,WI,53146,"ABOUT RYG ATHLETICS RYG Athletics is on a mission to help transform the games and lives of athletes around the country. RYG Athletics is committed to using sport as a vehicle to teach young athletes the leadership, mindset, and athletic skills they need to thrive in sports and life. They're so committed to helping athletes grow as leaders and develop mental toughness that their Academy sessions feature twice daily classroom sessions that include leadership and mindset teaching. Their camps are based on four pillars: fun, challenge, support, and connection. Their goal every week is simple: to be the highlight of every athlete's summer while helping them improve at the game.RATED AS A TOP 10 NIKE VOLLEYBALL CAMP IN 2025. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$455,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-oaw-sports-complex,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Center Court Sports Complex -  (June 8–11, 2026)",volleyball,10,18,2026-06-08,2026-06-11,815 Northview Rd,Waukesha,WI,53188,"Join us this summer at Center Court Sports Complex in Wisconsin for fun and learning on the court! Campers of all abilities will train with a dedicated coaching staff, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Waukesha—sign up today!",$445,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-center-court-sports-complex,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Center Court Sports Complex -  (Aug. 17–20, 2026)",volleyball,10,18,2026-08-17,2026-08-20,815 Northview Rd,Waukesha,WI,53188,"Join us this summer at Center Court Sports Complex in Wisconsin for fun and learning on the court! Campers of all abilities will train with a dedicated coaching staff, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this volleyball camp is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Waukesha—sign up today!",$445,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-center-court-sports-complex,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Carroll University -  (Aug. 3–6, 2026)",volleyball,8,14,2026-08-03,2026-08-06,100 N East Ave,Waukesha,WI,53186,"Enjoy an active and fun volleyball camp in summer 2026 at Carroll University in Wisconsin! Open to boys and girls ages 8–14, this camp in Waukesha is a great place for young athletes to learn the game and build confidence. Led by Head Coach Emma Mertler and her experienced staff, players will practice key skills through engaging drills and games. Campers will grow as athletes, meet new friends, and enjoy a positive team environment during an unforgettable summer volleyball experience.",$419,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-carroll-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp by SynergyForce Volleyball Club -  (July 7–9, 2026)",volleyball,10,18,2026-07-07,2026-07-09,10050 Foothills Blvd,Rocklin,CA,95747,"Join us this summer at SynergyForce Volleyball Club in Northern California for fun and learning on the court! Girls, ages 10-18, will train with with 3-time Olympian and Texas Sports Hall of Famer, Stacy Sykora, while enjoying a supportive and exciting atmosphere. Open to campers of all abilities, this volleyball camp in the greater Sacramento area focuses on building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Rocklin this summer—sign up today!",$491,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-synergyforce,FALSE,FALSE,camp,,,medium
